Title,BioProject_uid,BioProject,SRA_Code,Pubmed_ID,PMC_ID,SRA_Count,SRA_Id_list,Is_in_Genbank
Archaeogenomic distinctiveness of the Isthmo-Colombian area,724286,PRJEB42372,,33761327,PMC8024902,50,"13800817,13800806,13800857,13800826,13800800,13800833,13800796,13800820,13800793,13800830,13800832,13800828,13800861,13800813,13800858,13800799,13800810,13800804,13800814,13800812,13800831,13800825,13800811,13800805,13800862,13800824,13800821,13800822,13800818,13800803,13800797,13800802,13800795,13800809,13800819,13800807,13800859,13800823,13800794,13800863,13800829,13800798,13800856,13800834,13800808,13800827,13800815,13800801,13800860,13800816",True
Mitochondrial sequence variation in african-american primary open-angle glaucoma patients,213001,,SRA074922,24146900,PMC3798711,44,"456240,456201,456191,456203,456206,456205,456196,456207,456193,456194,456249,456235,456229,456198,456237,456224,456197,456200,456250,456199,456225,455921,456232,456202,456239,456245,456248,456246,456241,387319,456204,456247,456238,456231,456195,456228,456236,456244,456230,456233,456226,456227,456251,456234",True
"Bioarchaeological and paleogenomic profiling of the unusual Neolithic burial from Grotta di Pietra Sant'Angelo (Calabria, Italy)",929837,PRJEB58818,,37488251,PMC10366206,2,"26536181,26536215",True
Ancient genomes from North Africa evidence prehistoric migrations to the Maghreb from both the Levant and Europe,475914,PRJEB22699,,30012588,PMC6064982,23,"5842959,5842970,5842965,5842969,5842974,5842958,5842957,5842964,5842963,5842978,5842972,5842966,5842962,5842961,5842971,5842976,5842960,5842967,5842977,5842968,5842975,5842973,5842956",True
Mitogenomes illuminate the origin and migration patterns of the indigenous people of the Canary Islands,645108,PRJEB29569,,30893316,PMC6426200,48,"11322279,11322301,11322278,11322295,11322311,11322290,11322276,11322303,11322292,11322269,11322267,11322282,11322284,11322298,11322273,11322286,11322268,11322300,11322289,11322309,11322265,11322293,11322299,11322302,11322287,11322285,11322272,11322266,11322275,11322281,11322308,11322294,11322307,11322288,11322277,11322271,11322296,11322306,11322274,11322305,11322304,11322280,11322264,11322291,11322283,11322310,11322270,11322297",True
"DNA analysis of an early modern human from Tianyuan Cave, China",,ERP002037,,23341637,PMC3568306,2,"ERX181463,ERX181462",False
A western route of prehistoric human migration from Africa into the Iberian Peninsula,512750,PRJEB29189,,30963949,PMC6364581,21,"7013504,7013488,7013498,7013489,7013485,7013495,7013502,7013490,7013492,7013496,7013500,7013484,7013503,7013497,7013499,7013494,7013487,7013501,7013493,7013486,7013491",True
High-throughput sequencing of complete human mtDNA genomes from the Philippines,,ERP000381,,21147912,PMC3012916,109,"ERX033417,ERX033424,ERX033427,ERX033433,ERX033440,ERX033441,ERX033444,ERX033452,ERX033462,ERX033463,ERX033464,ERX033468,ERX033469,ERX033473,ERX033481,ERX033485,ERX033486,ERX033487,ERX033489,ERX033491,ERX033497,ERX033499,ERX033502,ERX033503,ERX033506,ERX033508,ERX033513,ERX033517,ERX033518,ERX033519,ERX033520,ERX033414,ERX033419,ERX033423,ERX033426,ERX033428,ERX033429,ERX033430,ERX033431,ERX033432,ERX033436,ERX033439,ERX033448,ERX033449,ERX033453,ERX033457,ERX033461,ERX033465,ERX033467,ERX033471,ERX033472,ERX033474,ERX033475,ERX033476,ERX033477,ERX033478,ERX033483,ERX033490,ERX033492,ERX033494,ERX033498,ERX033500,ERX033501,ERX033504,ERX033505,ERX033507,ERX033510,ERX033512,ERX033522,ERX033415,ERX033416,ERX033418,ERX033420,ERX033421,ERX033422,ERX033425,ERX033434,ERX033435,ERX033437,ERX033438,ERX033442,ERX033443,ERX033445,ERX033446,ERX033447,ERX033450,ERX033451,ERX033454,ERX033455,ERX033456,ERX033458,ERX033459,ERX033460,ERX033466,ERX033470,ERX033479,ERX033480,ERX033482,ERX033484,ERX033488,ERX033493,ERX033495,ERX033496,ERX033509,ERX033511,ERX033514,ERX033515,ERX033516,ERX033521",False
An infant burial from Arma Veirana in northwestern Italy provides insights into funerary practices and female personhood in early Mesolithic Europe,742984,PRJEB43051,,34907203,PMC8671481,8,"15120959,15120960,15120957,15120963,15120956,15120962,15120958,15120961",True
Early farmers from across Europe directly descended from Neolithic Aegeans,322372,PRJEB11848,,27274049,PMC4922144,5,"2566673,2566676,2566675,2566674,2566704",True
